[14-Aug-2014 16:37:05 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_PASSWORD in /var/www/html/framework2/php/Connection.php on line 15
[14-Aug-2014 16:37:06 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_CONN_STRING in /var/www/html/framework2/php/Connection.php on line 11
[14-Aug-2014 16:37:06 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_CONN_STRING in /var/www/html/framework2/php/Connection.php on line 15
[14-Aug-2014 16:37:06 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_USERNAME in /var/www/html/framework2/php/Connection.php on line 15
[14-Aug-2014 16:37:06 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_PASSWORD in /var/www/html/framework2/php/Connection.php on line 15
[14-Aug-2014 16:37:07 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_CONN_STRING in /var/www/html/framework2/php/Connection.php on line 11
[14-Aug-2014 16:37:07 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_CONN_STRING in /var/www/html/framework2/php/Connection.php on line 15
[14-Aug-2014 16:37:07 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_USERNAME in /var/www/html/framework2/php/Connection.php on line 15
[14-Aug-2014 16:37:07 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_PASSWORD in /var/www/html/framework2/php/Connection.php on line 15
[14-Aug-2014 16:37:07 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_CONN_STRING in /var/www/html/framework2/php/Connection.php on line 11
[14-Aug-2014 16:37:07 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_CONN_STRING in /var/www/html/framework2/php/Connection.php on line 15
[14-Aug-2014 16:37:07 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_USERNAME in /var/www/html/framework2/php/Connection.php on line 15
[14-Aug-2014 16:37:07 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_PASSWORD in /var/www/html/framework2/php/Connection.php on line 15
[14-Aug-2014 16:39:24 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_CONN_STRING in /var/www/html/framework2/php/Connection.php on line 11
[14-Aug-2014 16:39:24 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_CONN_STRING in /var/www/html/framework2/php/Connection.php on line 15
[14-Aug-2014 16:39:24 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_USERNAME in /var/www/html/framework2/php/Connection.php on line 15
[14-Aug-2014 16:39:24 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_PASSWORD in /var/www/html/framework2/php/Connection.php on line 15
[14-Aug-2014 16:39:24 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_CONN_STRING in /var/www/html/framework2/php/Connection.php on line 11
[14-Aug-2014 16:39:24 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_CONN_STRING in /var/www/html/framework2/php/Connection.php on line 15
[14-Aug-2014 16:39:24 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_USERNAME in /var/www/html/framework2/php/Connection.php on line 15
[14-Aug-2014 16:39:24 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_PASSWORD in /var/www/html/framework2/php/Connection.php on line 15
[14-Aug-2014 16:39:25 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_CONN_STRING in /var/www/html/framework2/php/Connection.php on line 11
[14-Aug-2014 16:39:25 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_CONN_STRING in /var/www/html/framework2/php/Connection.php on line 15
[14-Aug-2014 16:39:25 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_USERNAME in /var/www/html/framework2/php/Connection.php on line 15
[14-Aug-2014 16:39:25 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_PASSWORD in /var/www/html/framework2/php/Connection.php on line 15
[14-Aug-2014 16:39:25 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_CONN_STRING in /var/www/html/framework2/php/Connection.php on line 11
[14-Aug-2014 16:39:25 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_CONN_STRING in /var/www/html/framework2/php/Connection.php on line 15
[14-Aug-2014 16:39:25 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_USERNAME in /var/www/html/framework2/php/Connection.php on line 15
[14-Aug-2014 16:39:25 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_PASSWORD in /var/www/html/framework2/php/Connection.php on line 15
[14-Aug-2014 16:39:25 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_CONN_STRING in /var/www/html/framework2/php/Connection.php on line 11
[14-Aug-2014 16:39:25 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_CONN_STRING in /var/www/html/framework2/php/Connection.php on line 15
[14-Aug-2014 16:39:25 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_USERNAME in /var/www/html/framework2/php/Connection.php on line 15
[14-Aug-2014 16:39:25 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_PASSWORD in /var/www/html/framework2/php/Connection.php on line 15
[14-Aug-2014 16:42:05 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_DBNAME in /var/www/html/framework2/php/mysql.properties.php on line 14
[14-Aug-2014 16:42:05 Europe/Berlin] PHP Notice:  Undefined variable: MYSQL_HOST in /var/www/html/framework2/php/mysql.properties.php on line 14
[14-Aug-2014 16:42:05 Europe/Berlin] PHP Notice:  Undefined variable: pdo in /var/www/html/framework2/php/dao/LanguageDao.php on line 16
[14-Aug-2014 16:42:05 Europe/Berlin] PHP Fatal error:  Call to a member function query() on a non-object in /var/www/html/framework2/php/dao/LanguageDao.php on line 16
